episode,length,time,reward,delta
164,51.0,0.003469999999651918,-105.1,-48.79844298472558
165,74.0,0.004704999999376014,-107.39999999999999,-99.93244161435928
166,78.0,0.004915999999866472,-107.79999999999998,-99.96699254950077
167,79.0,0.005121000000144704,-6.899999999999988,0.84476041839383
168,46.0,0.0029429999995045364,-104.6,-40.66412536117787
169,96.0,0.006266999998842948,-8.599999999999982,0.760284376554447
170,42.0,0.0026849999994738027,-104.2,-36.59771282506008
171,98.0,0.006285999999818159,-109.79999999999998,-77.60541610876275
172,35.0,0.002366000000620261,-103.5,-70.25610506983689
173,211.0,0.013517999999749009,-121.10000000000002,-89.99073
174,87.0,0.005747999999584863,-7.699999999999985,0.6842559388990024
175,92.0,0.005799999998998828,-109.19999999999999,-93.33886576481244
176,35.0,0.002320999999938067,-103.5,-63.2304945628532
177,172.0,0.011064000000260421,-16.199999999999974,0.615830345009102
178,214.0,0.013365999999223277,-121.40000000000003,-90.0
179,18.0,0.0012009999991278164,-101.8,-80.55093402431837
180,117.0,0.007445999999617925,-10.699999999999974,0.609483824330803
181,142.0,0.008979000000181259,-13.199999999999966,0.6039696227240341
182,47.0,0.002970000001369044,-3.6999999999999993,0.5855225742200165
183,93.0,0.005885999999009073,-8.299999999999983,0.5269703167980149
184,96.0,0.00913100000070699,-8.599999999999982,0.5372070388513741
185,39.0,0.003780999999435153,-103.9,-88.76214670387468
186,33.0,0.00239299999884679,-103.3,-90.96071629997195
187,115.0,0.007389999998849817,-10.499999999999975,0.5453461618250632
188,86.0,0.005909999999857973,-108.59999999999998,-91.851496953
189,16.0,0.0011130000002594898,-101.6,-43.91859868625302
190,46.0,0.0030220000007830095,-104.6,-99.05298706242239
191,44.0,0.0036000000000058208,-3.4000000000000004,0.4908115456425568
192,70.0,0.0046910000000934815,-106.99999999999999,-39.52673881762772
193,62.0,0.004109999999855063,-106.19999999999999,-92.12127142586566
194,141.0,0.009287000000767875,-13.099999999999966,0.4908092637028201
195,182.0,0.011776999999710824,-17.19999999999999,0.4908073537192603
196,86.0,0.005554999999731081,-7.599999999999985,0.507762416868051
