params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",211.02599499999997,1000,-0.10000000000000003,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",70.65323800000078,1000,-0.07016495107942514,-0.07105263157894738,-0.09725685785536159,-0.03125000000000001,0.01146055528126374
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",72.53738299999895,1000,-0.06977145348401147,-0.07027027027027029,-0.09810344827586205,-0.02666666666666669,0.011387020072254339
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",72.11223100000097,1000,-0.06859351041167328,-0.07027027027027029,-0.09126984126984126,-0.03125000000000001,0.00962524628545484
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",69.89191100000062,1000,-0.06846684235165865,-0.06944444444444446,-0.08921568627450978,-0.03125000000000001,0.010036929734062615
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",67.10173099999884,1000,-0.06846802967880698,-0.06944444444444446,-0.08804347826086954,-0.03125000000000001,0.009508291353211453
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",69.30932400000165,1000,-0.06855029533797441,-0.06944444444444446,-0.08865979381443298,-0.021428571428571446,0.00983009101617145
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",66.4832779999997,1000,-0.06845371585976252,-0.06944444444444446,-0.08735632183908043,-0.03125000000000001,0.009810775856662558
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",70.08454199999869,1000,-0.06835618307595237,-0.06944444444444446,-0.09208633093525177,-0.02666666666666669,0.009776150872895857
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",330.15088900000046,1000,-0.10000000000000003,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",196.10550799999874,1000,-0.10000000000000003,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
