params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",61.31111199999941,1000,-0.08606235819446345,-0.08294471153846153,-2.875,-0.065625,0.08891843302227806
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",52.95635199999742,1000,-0.08226647637485561,-0.0825396825396825,-0.09959751189169408,-0.065625,0.004689956704082496
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",37.752378000001045,1000,-0.14035299606410023,-0.0825396825396825,-3.3225806451612905,-0.06666666666666667,0.30898445641961786
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",53.630497999998624,1000,-0.08962514572654598,-0.08281249999999998,-2.875,-0.06666666666666667,0.12656149681424694
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",35.324539000001096,1000,-0.147020228154436,-0.08281249999999998,-3.43,-0.065625,0.36395961721704906
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",32.37972599999921,1000,-0.15721339099596587,-0.08405797101449272,-2.875,-0.065625,0.351640238797044
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",75.38868300000104,1000,-0.2976616025182276,-0.2077104286690753,-2.4232558139534883,-0.09294871794871794,0.27525304610649304
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",93.57113299999764,1000,-0.09944931321608931,-0.09963851146162625,-0.17340191036002936,-0.0912,0.002754968587160563
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",247.9199750000007,1000,-0.09837250817851245,-0.0989656773029893,-0.1608404384896468,-0.08307692307692306,0.003224486712015718
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",39.926039000001765,1000,-0.0956818654410479,-0.09360465116279068,-0.7986013986013987,-0.07441860465116278,0.03164997492852145
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",85.86402899999666,1000,-0.08238790792041258,-0.08281249999999998,-0.09980822873082287,-0.065625,0.004613340092554343
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",72.14320500000031,1000,-0.08258245507903826,-0.08281249999999998,-0.09973410684070583,-0.06333333333333337,0.004417331861643199
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",64.77295800000138,1000,-0.09361949053800785,-0.08358208955223878,-2.225531914893617,-0.06764705882352942,0.1289871942448963
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",52.07177899999806,1000,-0.09014738189489799,-0.0825396825396825,-2.18125,-0.065625,0.11892040097987973
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",37.086521000001085,1000,-0.1394895787598254,-0.08405797101449272,-3.1272727272727274,-0.065625,0.30004018030237717
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",29.837695999998687,1000,-0.29229945812730485,-0.08791208791208789,-5.3578947368421055,-0.06857142857142857,0.6281912438392898
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",211.15888000000268,1000,-0.18271575087311281,-0.13524455791855303,-2.4232558139534883,-0.10000000000000002,0.14800460010636743
